"X","DIC","Set","Pattern","Mesh"
9,-3756.82610022105,"Set2","Pattern9","Mesh30"
10,-10844.7738163553,"Set2","Pattern10","Mesh30"
11,-262.076585143117,"Set3","Pattern11","Mesh30"
12,-280.395177295321,"Set3","Pattern12","Mesh30"
13,-357.633756584854,"Set3","Pattern13","Mesh30"
14,-358.681338446695,"Set3","Pattern14","Mesh30"
15,-413.448401534233,"Set3","Pattern15","Mesh30"
16,-128.686988087119,"Set4","Pattern16","Mesh30"
17,-604.040906957714,"Set4","Pattern17","Mesh30"
18,-361.508943681097,"Set4","Pattern18","Mesh30"
19,-189.256160687835,"Set4","Pattern19","Mesh30"
20,-730.220442384115,"Set4","Pattern20","Mesh30"
1,-5559.58030035785,"Set1","Pattern1","Mesh31"
2,-5003.0685082314,"Set1","Pattern2","Mesh31"
3,-6138.03722755936,"Set1","Pattern3","Mesh31"
4,-6270.40649209934,"Set1","Pattern4","Mesh31"
5,-5572.99287165414,"Set1","Pattern5","Mesh31"
6,-2890.05023891469,"Set2","Pattern6","Mesh31"
